214402654@@locojoy,10438,50956,100412,2
205307286@@locojoy,7717,49434,97946,2
200977714@@locojoy,78,20088,39928,2
213115621@@locojoy,5629,12588,24648,2
214341318@@locojoy,95,11016,21896,2
213934779@@locojoy,897,7616,15056,2
200014374@@locojoy,4948,6116,11203,2
214344534@@locojoy,6388,5748,10908,2
214346760@@locojoy,3285,5424,10131,2
203680005@@locojoy,4834,5036,9543,2
212167551@@locojoy,9,5032,9784,2
213039830@@locojoy,6487,5024,9904,2
214344413@@locojoy,2230,4998,9663,2
213189282@@locojoy,8971,4762,9289,2
dc1,100,1000,100,2
dc2,100,2000,100,2
dc9,100,1500,100,2
dc10,100,1800,100,3
211076538@@locojoy,17,4622,9113,2
213997183@@locojoy,14,4536,9016,2
214345373@@locojoy,65,3888,7728,2
214339336@@locojoy,1264,3668,4897,2
213454328@@locojoy,2154,3602,5084,2
214339405@@locojoy,3874,3290,6498,2
213991407@@locojoy,11,3240,6440,2
213997336@@locojoy,6,3240,6440,2
214340837@@locojoy,5527,3240,6440,2
214340865@@locojoy,7,3240,6440,2
211549673@@locojoy,1081,3008,4110,2
203366260@@locojoy,576,2842,5246,2
214394939@@locojoy,9413,2648,5216,2
214345766@@locojoy,574,2624,4731,2
214150107@@locojoy,201,2598,5158,2
213831081@@locojoy,805,2592,5152,2
214359237@@locojoy,7805,2592,5152,2
214341502@@locojoy,2039,2436,4504,2
214159463@@locojoy,5127,2432,3834,2
206454020@@locojoy,216,2268,4257,2
214339824@@locojoy,222,2100,3533,2
214179428@@locojoy,1686,2006,3468,2
214346175@@locojoy,1772,2000,2910,2
214346824@@locojoy,3199,2000,3172,2
213436576@@locojoy,1616,1944,3864,2
213995999@@locojoy,50,1944,3864,2
213345559@@locojoy,1103,1944,3864,2
212977722@@locojoy,9668,1798,3350,2
204865126@@locojoy,1413,1748,2528,2
214393779@@locojoy,8672,1598,2856,2
213245091@@locojoy,5079,1510,2505,2
211557179@@locojoy,2405,1480,1798,2
214341811@@locojoy,3571,1434,2664,2
200380868@@locojoy,176,1432,2576,2
211766037@@locojoy,2194,1422,1933,2
214339847@@locojoy,228,1406,2708,2
214350871@@locojoy,10590,1396,2692,2
214359298@@locojoy,7830,1394,2102,2
214032301@@locojoy,179,1394,2696,2
213436284@@locojoy,5258,1306,2160,2
214000183@@locojoy,56,1302,2582,2
214284118@@locojoy,135,1296,2576,2
213049063@@locojoy,855,1286,1889,2
212919468@@locojoy,508,1200,1740,2
214339619@@locojoy,1519,1192,1350,2
214340000@@locojoy,1246,1152,1682,2
212984782@@locojoy,2933,1136,2176,2
212430433@@locojoy,344,1110,1721,2
214341489@@locojoy,1805,1050,1854,2
213514345@@locojoy,156,1002,1840,2
214348184@@locojoy,4920,1000,1752,2
214339426@@locojoy,2136,994,1366,2
214350798@@locojoy,6340,990,1662,2
214347387@@locojoy,3986,966,1184,2
214343753@@locojoy,2575,920,1273,2
214346531@@locojoy,2812,872,1259,2
201635725@@locojoy,5591,834,1213,2
214160788@@locojoy,2949,830,1085,2
214370879@@locojoy,8223,802,1140,2
214346415@@locojoy,2485,746,1408,2
213438278@@locojoy,142,732,965,2
212934904@@locojoy,4699,726,996,2
212913133@@locojoy,1106,722,879,2
214032245@@locojoy,52,698,1346,2
211607373@@locojoy,5503,694,820,2
212221480@@locojoy,8630,692,1174,2
214345987@@locojoy,1196,690,1134,2
214341031@@locojoy,1978,684,1327,2
214405924@@locojoy,10597,664,884,2
214345469@@locojoy,2469,654,1294,2
213472292@@locojoy,3037,654,1294,2
214336701@@locojoy,41,654,1294,2
213189079@@locojoy,1320,654,1294,2
212912924@@locojoy,10797,654,1294,2
208510332@@locojoy,4459,654,1294,2
214341513@@locojoy,2368,654,1294,2
214340040@@locojoy,32,654,1294,2
213997378@@locojoy,89,648,1288,2
214345346@@locojoy,123,648,1288,2
214346469@@locojoy,2820,648,1288,2
208383510@@locojoy,296,648,1288,2
208480867@@locojoy,117,648,1288,2
214009309@@locojoy,472,648,1288,2
214033808@@locojoy,40,648,1288,2
213980666@@locojoy,63,648,1288,2
212965252@@locojoy,634,648,1288,2
214347842@@locojoy,4532,648,1288,2
214075096@@locojoy,8,648,1288,2
214337945@@locojoy,39,648,1288,2
213016934@@locojoy,1997,648,1288,2
214033816@@locojoy,118,648,1288,2
213995413@@locojoy,300,648,1288,2
214345537@@locojoy,75,648,1288,2
214032504@@locojoy,23,648,1288,2
213971253@@locojoy,5,648,1288,2
214032521@@locojoy,104,648,1288,2
214348591@@locojoy,5208,644,784,2
214346904@@locojoy,3349,644,898,2
214397489@@locojoy,9872,618,742,2
200512954@@locojoy,5889,608,770,2
214346306@@locojoy,2250,598,806,2
200037931@@locojoy,6731,586,1008,2
214339598@@locojoy,5407,570,654,2
214339433@@locojoy,318,560,664,2
214345427@@locojoy,4331,550,744,2
214348784@@locojoy,5351,540,602,2
214356567@@locojoy,7475,524,927,2
214345260@@locojoy,69,522,673,2
213456232@@locojoy,4387,504,652,2
211659413@@locojoy,7430,500,686,2
212952782@@locojoy,2734,500,734,2
201571267@@locojoy,9855,494,680,2
214350891@@locojoy,6353,488,888,2
213979124@@locojoy,7642,488,888,2
211517720@@locojoy,5170,458,516,2
202032876@@locojoy,3025,452,527,2
212773555@@locojoy,5782,446,529,2
214344620@@locojoy,199,438,639,2
214348978@@locojoy,5493,402,566,2
208255697@@locojoy,5186,402,614,2
214025597@@locojoy,8096,400,526,2
202209020@@locojoy,2757,396,452,2
214397890@@locojoy,9953,394,520,2
214346810@@locojoy,3125,362,472,2
214332595@@locojoy,2900,356,422,2
200968805@@locojoy,9084,344,418,2
212983456@@locojoy,7672,342,403,2
214362389@@locojoy,8006,330,399,2
214340293@@locojoy,202,326,433,2
214353686@@locojoy,7032,314,366,2
214345628@@locojoy,311,310,356,2
213484689@@locojoy,5114,306,364,2
213005491@@locojoy,2090,304,494,2
212843135@@locojoy,9187,304,358,2
212900863@@locojoy,868,300,366,2
212904027@@locojoy,10955,298,488,2
214348723@@locojoy,5287,298,488,2
212754676@@locojoy,11132,298,488,2
213872940@@locojoy,6567,296,400,2
206652233@@locojoy,455,296,400,2
214345571@@locojoy,146,296,400,2
214343302@@locojoy,724,296,400,2
214394446@@locojoy,9206,286,317,2
212920986@@locojoy,9478,282,337,2
214355710@@locojoy,7351,278,371,2
213242131@@locojoy,1401,278,327,2
214345705@@locojoy,384,276,297,2
214343503@@locojoy,297,262,312,2
213437337@@locojoy,8911,262,312,2
214346039@@locojoy,1161,256,303,2
214374380@@locojoy,8287,252,304,2
202298049@@locojoy,4421,252,304,2
214346891@@locojoy,3311,252,304,2
